Film,Year,Tomatometer_Critic,Tomatometer_Audience,Tomatometer_Critic_Audience_Gap,IMDB_Critic,IMDB_Audience,IMDB_Critic_Audience_Gap,Nominations_Total,Nomination_SuccessRate,Genre,SideGenre,Picture,Cinematography,Directing,Editing,Screenplay,Acting,Design,Sound
Midnight in Paris,2012,93,83,-10,81,77,-4,4,0.25,Romance,Romance/Comedy,NOM,NNOM,NOM,NNOM,WON,NNOM,NOM,NNOM
Moneyball,2012,94,86,-8,87,76,-11,6,0,Drama,Drama,NOM,NNOM,NNOM,NOM,NOM,NOM,NNOM,NOM
The Tree of Life,2012,85,60,-25,85,68,-17,3,0,Drama,Drama,NOM,NOM,NOM,NNOM,NNOM,NNOM,NNOM,NNOM
War Horse,2012,75,74,-1,72,72,0,6,0,History,History/Drama,NOM,NOM,NNOM,NNOM,NNOM,NNOM,NOM,NOM
Amour,2013,93,82,-11,95,79,-16,5,0.2,Drama,Drama,NOM,NNOM,NOM,NNOM,NOM,NOM,NNOM,NNOM
Argo,2013,96,90,-6,86,77,-9,7,0.42857,History,History/Drama,WON,NNOM,NNOM,WON,WON,NOM,NNOM,NOM
Beasts of the Southern Wild,2013,86,76,-10,86,72,-14,4,0,Adventure,Adventure/Drama,NOM,NNOM,NOM,NNOM,NOM,NOM,NNOM,NNOM
Django Unchained,2013,87,92,5,81,84,3,5,0.4,Western,Western/Drama,NOM,NOM,NNOM,NNOM,WON,WON,NNOM,NOM
Les Miserables,2013,69,79,10,63,75,12,9,0.33333,Musical,Musical/History,NOM,NNOM,NNOM,NNOM,NNOM,WON,NOM,WON
Life of Pi,2013,86,84,-2,79,79,0,11,0.36364,Adventure,Adventure/Drama,NOM,WON,WON,NOM,NOM,NNOM,NOM,NOM
Lincoln,2013,89,81,-8,87,73,-14,12,0.16667,History,History/Drama,NOM,NOM,NOM,NOM,NOM,WON,WON,NOM
Silver Linings Playbook,2013,92,86,-6,81,77,-4,8,0.125,Comedy,Comedy/Drama,NOM,NNOM,NOM,NOM,NOM,WON,NNOM,NNOM
Zero Dark Thirty,2013,91,80,-11,95,74,-21,5,0.2,Thriller,Drama/Mystery/Thriller,NOM,NNOM,NNOM,NOM,NOM,NOM,NNOM,WON
American Hustle,2014,92,74,-18,90,72,-18,10,0,Crime,Crime/Drama,NOM,NNOM,NOM,NOM,NOM,NOM,NOM,NNOM
